"program_id","university_name","university_type","partnership_status","partner_name","country","city","world_ranking","university_website","program_name","degree_level","field_of_study","specialization","course_duration_years","course_duration_months","program_website","min_gpa","min_percentage","last_education_required","work_experience_required","min_work_experience_years","specific_background_required","english_test_required","ielts_overall","ielts_individual","toefl_overall","toefl_individual","pte_overall","duolingo_overall","moi_accepted","moi_conditions","gre_required","min_gre_score","gmat_required","min_gmat_score","other_exams","tuition_fee_eur","tuition_fee_usd","application_fee_eur","scholarships_available","scholarship_details","scholarship_amount_max","living_cost_estimate_eur","intake_spring","intake_summer","intake_fall","intake_winter","spring_deadline","summer_deadline","fall_deadline","winter_deadline","rolling_admissions","language_of_instruction","visa_success_rate","job_placement_rate","internship_opportunities","part_time_work_allowed","post_study_work_visa","program_highlights","notes","admissions_email","application_portal","commission_rate","last_updated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG052","GISMA Business School","Private","Non-Partnered","N/A","Germany","Berlin","N/A","https://www.gisma.com","MSc Data Science AI and Digital Business","Master's","Computer Science","Data Science & Analytics","1","12","https://www.gisma.com/programmes/postgraduate/msc-data-science-ai-and-digital-business","2.8","60","Bachelor's","No","0","Quantitative background preferred","Yes","6.0","5.5","80","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","15500","17050","0","Yes","Merit scholarships","7750","10800","Yes","Yes","Yes","Yes","12/01","03/01","06/01","09/01","Yes","English","95","90","Yes","Yes","18 months","Tech-focused, AI emphasis, Digital transformation","N/A","admissions@gisma.com","https://www.gisma.com/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG053","American Business School Paris","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.absparis.com","MBA","Master's","Business Administration","General Management","1","12","https://www.absparis.com/en/programs/mba","3.0","70","Bachelor's","Yes","3","Any field","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","Optional","550","N/A","14000","15400","100","Yes","Merit and need-based","4000","12000","Yes","No","Yes","No","01/15","N/A","09/01","N/A","Yes","English","90","85","Yes","Yes","2 years","American curriculum, Paris location, International focus","No IELTS required in some cases","admissions@absparis.com","https://www.absparis.com/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG054","American Business School Paris","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.absparis.com","MSc International Business","Master's","Business Administration","International Business","2","24","https://www.absparis.com/en/programs/msc-international-business","3.0","70","Bachelor's","No","0","Business background preferred","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","10000","11000","100","Yes","Early bird discount","1500","12000","Yes","No","Yes","No","01/15","N/A","09/01","N/A","Yes","English","90","85","Yes","Yes","2 years","Global perspective, Practical projects, Affordable tuition","N/A","admissions@absparis.com","https://www.absparis.com/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG055","Pole Leonardo De Vinci","Private","Non-Partnered","N/A","France","Paris","81","https://www.devinci.fr","Master in Management","Master's","Business Administration","General Management","2","24","https://www.devinci.fr/en/programmes/master-in-management","3.0","70","Bachelor's","No","0","Any field","Yes","6.0","5.5","80","20","56","105","No","N/A","No","N/A","No","N/A","N/A","11500","12650","50","Yes","Merit scholarships","5000","12000","No","No","Yes","No","N/A","N/A","06/30","N/A","No","English","90","85","Yes","Yes","2 years","Interdisciplinary approach, Paris business district, Strong network","N/A","admissions@devinci.fr","https://www.devinci.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG056","Pole Leonardo De Vinci","Private","Non-Partnered","N/A","France","Paris","81","https://www.devinci.fr","MSc International Finance","Master's","Finance","International Finance","2","24","https://www.devinci.fr/en/programmes/msc-international-finance","3.2","75","Bachelor's","No","0","Finance or Economics background","Yes","6.5","6.0","90","20","58","110","No","N/A","Optional","320","No","N/A","N/A","14790","16269","50","Yes","Excellence scholarships","4000","12000","No","No","Yes","No","N/A","N/A","06/30","N/A","No","English","90","85","Yes","Yes","2 years","Finance focus, Professional experience, International exposure","N/A","admissions@devinci.fr","https://www.devinci.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG057","Paris School of Business (PSB)","Private","Non-Partnered","N/A","France","Paris","81","https://www.psbedu.paris","MSc International Finance","Master's","Finance","International Finance","2","24","https://www.psbedu.paris/en/programs/msc-international-finance","3.0","70","Bachelor's","No","0","Finance background preferred","Yes","6.5","6.0","90","20","58","110","No","N/A","No","N/A","No","N/A","N/A","14790","16269","0","Yes","Merit scholarships","5000","12000","Yes","No","Yes","No","01/15","N/A","09/01","N/A","Yes","English","90","85","Yes","Yes","2 years","Applied finance knowledge, Competitive job market preparation, Paris location","N/A","admissions@psbedu.paris","https://www.psbedu.paris/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG058","Paris School of Business (PSB)","Private","Non-Partnered","N/A","France","Paris","81","https://www.psbedu.paris","MBA","Master's","Business Administration","General Management","1","12","https://www.psbedu.paris/en/programs/mba","3.2","75","Bachelor's","Yes","3","Professional experience required","Yes","7.0","6.5","100","22","65","120","No","N/A","Optional","320","Optional","550","N/A","18870","20757","0","Yes","Excellence scholarships","6000","12000","Yes","No","Yes","No","01/15","N/A","09/01","N/A","Yes","English","90","85","Yes","Yes","2 years","Leadership skills, International environment, Career boost","N/A","admissions@psbedu.paris","https://www.psbedu.paris/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG059","Neoma Business School","Private","Partnered","Edugo","France","Reims","N/A","https://www.neoma-bs.com","MSc Supply Chain Management","Master's","Business Administration","Supply Chain Management","1","12","https://www.neoma-bs.com/en/programmes/msc-supply-chain-management","3.0","70","Bachelor's","No","0","Business or related field","Yes","6.5","6.0","90","20","58","110","No","N/A","No","N/A","No","N/A","N/A","18500","20350","100","Yes","Excellence scholarships","4000","9000","No","No","Yes","No","N/A","N/A","06/30","N/A","Yes","English","90","86","Yes","Yes","2 years","Supply chain focus, Industry partnerships, High employability","N/A","admissions@neoma-bs.com","https://www.neoma-bs.com/apply","14%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG060","Neoma Business School","Private","Partnered","Edugo","France","Reims","N/A","https://www.neoma-bs.com","Master in Management","Master's","Business Administration","General Management","2","24","https://www.neoma-bs.com/en/programmes/master-in-management","3.2","75","Bachelor's","No","0","Any field","Yes","6.5","6.0","90","20","58","110","No","N/A","No","N/A","No","N/A","N/A","37000","40700","100","Yes","Merit-based scholarships","3000","9000","No","No","Yes","No","N/A","N/A","06/30","N/A","Yes","English","90","86","Yes","Yes","2 years","Comprehensive management, Career development, International focus","N/A","admissions@neoma-bs.com","https://www.neoma-bs.com/apply","14%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG061","College de Paris","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.collegedeparis.com","MSc in International Management","Master's","Business Administration","International Management","2","24","https://www.collegedeparis.com/en/msc-in-international-management","3.0","70","Bachelor's","No","0","Any field","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12000","13200","100","Yes","Merit-based scholarships","5000","12000","No","No","Yes","No","N/A","N/A","03/15","N/A","No","E nglish","90","85","Yes","Yes","2 years","Global business focus, Paris location, Industry partnerships","N/A","admissions@collegedeparis.com","https://www.collegedeparis.com/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG062","College de Paris","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.collegedeparis.com","MSc in Digital Business","Master's","Business Administration","Digital Business","1.5","18","https://www.collegedeparis.com/en/msc-in-digital-business","3.0","70","Bachelor's","No","0","Business or tech background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","11000","12100","100","Yes","Excellence scholarships","4000","12000","No","No","Yes","No","N/A","N/A","04/01","N/A","No","English","90","85","Yes","Yes","2 years","Digital transformation, Practical projects, Networking","N/A","admissions@collegedeparis.com","https://www.collegedeparis.com/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG063","Cours Florent","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.coursflorent.fr","Master in Acting","Master's","Performing Arts","Acting","2","24","https://www.coursflorent.fr/en/master-in-acting","3.0","70","Bachelor's","No","0","Performing arts background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","8500","9350","50","Yes","Talent scholarships","3000","12000","No","No","Yes","No","N/A","N/A","02/28","N/A","No","English","92","88","Yes","Yes","2 years","Professional training, Auditions preparation, International exposure","N/A","admissions@coursflorent.fr","https://www.coursflorent.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG064","Cours Florent","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.coursflorent.fr","Master in Screen Acting","Master's","Performing Arts","Screen Acting","1.5","18","https://www.coursflorent.fr/en/master-in-screen-acting","3.0","70","Bachelor's","No","0","Acting experience preferred","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","7500","8250","50","Yes","Merit scholarships","2000","12000","No","No","Yes","No","N/A","N/A","03/15","N/A","No","English","92","88","Yes","Yes","2 years","Cinema focus, Workshops with professionals, Paris hub","N/A","admissions@coursflorent.fr","https://www.coursflorent.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG065","ISEP Engineering Graduate School","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.isep.fr","MSc in Information Technology","Master's","Computer Science","Information Technology","2","24","https://www.isep.fr/en/msc-information-technology","3.0","70","Bachelor's","No","0","Computer Science or related","Yes","6.0","5.5","79","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","10514","11565","100","Yes","Merit scholarships","3000","12000","No","No","Yes","No","N/A","N/A","05/31","N/A","No","English","95","92","Yes","Yes","18 months","Digital engineering focus, Industry internships, High employability","N/A","admissions@isep.fr","https://www.isep.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG066","ISEP Engineering Graduate School","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.isep.fr","MSc in Electronics and Telecommunications","Master's","Engineering","Electronics and Telecommunications","2","24","https://www.isep.fr/en/msc-electronics-telecommunications","3.0","70","Bachelor's","No","0","Engineering background","Yes","6.0","5.5","79","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","10514","11565","100","Yes","Excellence scholarships","4000","12000","No","No","Yes","No","N/A","N/A","05/31","N/A","No","English","95","92","Yes","Yes","18 months","Tech innovation, Research opportunities, Paris tech scene","N/A","admissions@isep.fr","https://www.isep.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG067","IMT Atlantique","Public","Non-Partnered","N/A","France","Brest","101","https://www.imt-atlantique.fr","MSc in Computer Science and Information Technology","Master's","Computer Science","Information Technology","2","24","https://www.imt-atlantique.fr/en/msc-computer-science-it","3.0","70","Bachelor's","No","0","Computer Science background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","4150","4565","50","Yes","Partial waivers","2000","11000","No","No","Yes","No","N/A","N/A","05/15","N/A","No","English","94","90","Yes","Yes","18 months","Tech research focus, Brittany campus, International network","N/A","admissions@imt-atlantique.fr","https://www.imt-atlantique.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG068","IMT Atlantique","Public","Non-Partnered","N/A","France","Brest","101","https://www.imt-atlantique.fr","MSc in Applied Mathematics","Master's","Mathematics","Applied Mathematics","2","24","https://www.imt-atlantique.fr/en/msc-applied-mathematics","3.2","75","Bachelor's","No","0","Mathematics background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","4150","4565","50","Yes","Eiffel scholarships","5000","11000","No","No","Yes","No","N/A","N/A","05/15","N/A","No","English","94","90","Yes","Yes","18 months","Quantitative skills, Industry applications, High rankings","N/A","admissions@imt-atlantique.fr","https://www.imt-atlantique.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG069","Ecole Centrale de Nantes","Public","Non-Partnered","N/A","France","Nantes","351","https://www.ec-nantes.fr","MSc in Civil Engineering","Master's","Engineering","Civil Engineering","2","24","https://www.ec-nantes.fr/msc-civil-engineering","3.0","70","Bachelor's","No","0","Engineering background","Yes","6.0","5.5","80","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","6000","6600","0","Yes","Eiffel Excellence","8000","11000","No","No","Yes","No","N/A","N/A","04/30","N/A","No","English","93","89","Yes","Yes","18 months","Sustainable structures focus, Research labs, Nantes location","N/A","admissions@ec-nantes.fr","https://www.ec-nantes.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG070","Ecole Centrale de Nantes","Public","Non-Partnered","N/A","France","Nantes","351","https://www.ec-nantes.fr","MSc in Mechanical Engineering","Master's","Engineering","Mechanical Engineering","2","24","https://www.ec-nantes.fr/msc-mechanical-engineering","3.0","70","Bachelor's","No","0","Mechanical engineering background","Yes","6.0","5.5","80","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","6000","6600","0","Yes","Merit waivers","3000","11000","No","No","Yes","No","N/A","N/A","04/30","N/A","No","English","93","89","Yes","Yes","18 months","Advanced mechanics, Industry partnerships, Innovation hub","N/A","admissions@ec-nantes.fr","https://www.ec-nantes.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG071","ESAIP Graduate School of Engineering","Private","Non-Partnered","N/A","France","Angers","N/A","https://www.esaip.org","MSc in Computer Science Engineering","Master's","Computer Science","Artificial Intelligence & Data Management","2","24","https://www.esaip.org/en/engineering-degrees/computer-science-engineering","3.0","70","Bachelor's","No","0","Computer Science background required","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","7500","8250","50","Yes","Merit scholarships","3000","10000","No","No","Yes","No","N/A","N/A","05/31","N/A","No","English","93","90","Yes","Yes","2 years","AI and data focus, Industry projects, International experience","N/A","admissions@esaip.org","https://www.esaip.org/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG072","ESAIP Graduate School of Engineering","Private","Non-Partnered","N/A","France","Angers","N/A","https://www.esaip.org","MSc in Risk Management & Environment Engineering","Master's","Engineering","Risk Management & Environment","2","24","https://www.esaip.org/en/engineering-degrees/risk-management-environment-engineering","3.0","70","Bachelor's","No","0","Engineering background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","8400","9240","50","Yes","Excellence scholarships","4000","10000","No","No","Yes","No","N/A","N/A","05/31","N/A","No","English","93","90","Yes","Yes","2 years","Sustainability focus, Risk assessment, Professional internships","N/A","admissions@esaip.org","https://www.esaip.org/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG073","EPITA Graduate School of Computer Science","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.epita.fr","MSc in Computer Science - Data Science & Analytics","Master's","Computer Science","Data Science & Analytics","1.5","18","https://www.epita.fr/en/msc-computer-science-data-science-analytics","3.0","70","Bachelor's","No","0","Computer Science or related field","Yes","6.0","5.5","80","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12900","14190","60","Yes","Merit scholarships","5000","12000","No","No","Yes","No","N/A","N/A","01/31","N/A","No","English","95","92","Yes","Yes","18 months","Advanced analytics, Machine learning, High employability","N/A","admissions@epita.fr","https://www.epita.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG074","EPITA Graduate School of Computer Science","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.epita.fr","MSc in Computer Science - Computer Security","Master's","Computer Science","Cyber Security","1.5","18","https://www.epita.fr/en/msc-computer-science-computer-security","3.0","70","Bachelor's","No","0","Computer Engineering background","Yes","6.0","5.5","80","20","56","105","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12900","14190","60","Yes","Excellence scholarships","6000","12000","No","No","Yes","No","N/A","N/A","01/31","N/A","No","English","95","92","Yes","Yes","18 months","Ethical hacking, Network security, Industry partnerships","N/A","admissions@epita.fr","https://www.epita.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG075","IMT Mines-Albi Carmaux Engineering school","Public","Non-Partnered","N/A","France","Albi","N/A","https://www.imt-mines-albi.fr","MSc in Process and Bioprocess Engineering","Master's","Engineering","Process Engineering","2","24","https://www.imt-mines-albi.fr/en/masters/process-bioprocess-engineering","3.0","70","Bachelor's","No","0","Chemical Engineering background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12000","13200","50","Yes","IMT scholarships","5000","10000","No","No","Yes","No","N/A","N/A","04/30","N/A","No","English","92","88","Yes","Yes","18 months","Sustainable processes, Research focus, Industry collaboration","N/A","admissions@imt-mines-albi.fr","https://www.imt-mines-albi.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG076","IMT Mines-Albi Carmaux Engineering school","Public","Non-Partnered","N/A","France","Albi","N/A","https://www.imt-mines-albi.fr","MSc in Materials Science and Engineering","Master's","Engineering","Materials Science","2","24","https://www.imt-mines-albi.fr/en/masters/materials-science-engineering","3.0","70","Bachelor's","No","0","Materials Engineering background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12000","13200","50","Yes","Merit scholarships","4000","10000","No","No","Yes","No","N/A","N/A","04/30","N/A","No","English","92","88","Yes","Yes","18 months","Advanced materials, Innovation hub, International network","N/A","admissions@imt-mines-albi.fr","https://www.imt-mines-albi.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG077","Ecole Centrale de Lille","Public","Non-Partnered","N/A","France","Lille","601","https://centralelille.fr","MSc in Mechanical Engineering","Master's","Engineering","Mechanical Engineering","2","24","https://centralelille.fr/en/masters/mechanical-engineering","3.0","70","Bachelor's","No","0","Mechanical Engineering background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","Optional","N/A","Optional","310","No","N/A","243","267","50","Yes","Eiffel scholarships","8000","11000","No","No","Yes","No","N/A","N/A","03/15","N/A","No","English","94","90","Yes","Yes","18 months","Advanced mechanics, Research labs, Lille innovation ecosystem","N/A","admissions@centralelille.fr","https://centralelille.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG078","Ecole Centrale de Lille","Public","Non-Partnered","N/A","France","Lille","601","https://centralelille.fr","MSc in Biomedical Engineering","Master's","Engineering","Biomedical Engineering","2","24","https://centralelille.fr/en/masters/biomedical-engineering","3.2","75","Bachelor's","No","0","Engineering or Biology background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","Optional","N/A","Optional","310","No","N/A","243","267","50","Yes","Merit scholarships","6000","11000","No","No","Yes","No","N/A","N/A","03/15","N/A","No","English","94","90","Yes","Yes","18 months","Health tech focus, Interdisciplinary, High job placement","N/A","admissions@centralelille.fr","https://centralelille.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG079","IMT Mines - Ales","Public","Non-Partnered","N/A","France","Ales","N/A","https://www.imt-mines-ales.fr","MSc in Materials Science and Engineering","Master's","Engineering","Materials Science","2","24","https://www.imt-mines-ales.fr/en/masters/materials-science-engineering","3.0","70","Bachelor's","No","0","Materials background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","6000","6600","50","Yes","IMT scholarships","3000","10000","No","No","Yes","No","N/A","N/A","04/30","N/A","No","English","92","88","Yes","Yes","18 months","Ecomaterials focus, Research excellence, Sustainable tech","N/A","admissions@imt-mines-ales.fr","https://www.imt-mines-ales.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG080","IMT Mines - Ales","Public","Non-Partnered","N/A","France","Ales","N/A","https://www.imt-mines-ales.fr","MSc in Risk and Environmental Management","Master's","Engineering","Risk Management","2","24","https://www.imt-mines-ales.fr/en/masters/risk-environmental-management","3.0","70","Bachelor's","No","0","Engineering background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","6000","6600","50","Yes","Merit scholarships","4000","10000","No","No","Yes","No","N/A","N/A","04/30","N/A","No","English","92","88","Yes","Yes","18 months","Risk sciences, Water resources, Industry partnerships","N/A","admissions@imt-mines-ales.fr","https://www.imt-mines-ales.fr/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG081","INP Toulouse Engineering School","Public","Non-Partnered","N/A","France","Toulouse","351","https://www.inp-toulouse.fr","MSc in Industrial & Safety Engineering","Master's","Engineering","Industrial Engineering","2","24","https://www.inp-toulouse.fr/en/education/msc-industrial-safety-engineering","3.0","70","Bachelor's","No","0","Engineering background required","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","9000","9900","50","Yes","Eiffel Excellence Scholarship","8000","10000","No","No","Yes","No","N/A","N/A","03/31","N/A","No","English","93","90","Yes","Yes","18 months","Industry-focused, Safety management, Toulouse aerospace hub","N/A","admissions@inp-toulouse.fr","https://apply.inp-toulouse.fr","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG082","INP Toulouse Engineering School","Public","Non-Partnered","N/A","France","Toulouse","351","https://www.inp-toulouse.fr","MSc in Aerospace Engineering","Master's","Engineering","Aerospace Engineering","2","24","https://www.inp-toulouse.fr/en/education/msc-aerospace-engineering","3.0","70","Bachelor's","No","0","Aerospace or Mechanical background","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","9000","9900","50","Yes","DAAD scholarships","10000","10000","No","No","Yes","No","N/A","N/A","05/31","N/A","No","English","93","90","Yes","Yes","18 months","Top aerospace program, Research labs, Industry partnerships","N/A","admissions@inp-toulouse.fr","https://apply.inp-toulouse.fr","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG083","Strate School of Design","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.strate.design","MSc in Transportation Design","Master's","Design","Transportation Design","1.5","18","https://www.strate.design/en/programmes/msc-transportation-design","3.0","70","Bachelor's","No","0","Design background preferred","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12500","13750","100","Yes","Merit scholarships","5000","12000","No","No","Yes","No","N/A","N/A","06/30","N/A","No","English","92","88","Yes","Yes","2 years","Innovative design, Industry projects, Paris creative hub","N/A","admissions@strate.design","https://www.strate.design/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG084","Strate School of Design","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.strate.design","MSc in Product Design","Master's","Design","Product Design","1.5","18","https://www.strate.design/en/programmes/msc-product-design","3.0","70","Bachelor's","No","0","Design or related field","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12500","13750","100","Yes","Excellence scholarships","4000","12000","No","No","Yes","No","N/A","N/A","06/30","N/A","No","English","92","88","Yes","Yes","2 years","Sustainable focus, Prototyping labs, Global exposure","N/A","admissions@strate.design","https://www.strate.design/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROG085","Atelier Chardon Savard","Private","Non-Partnered","N/A","France","Paris","N/A","https://www.atelier-chardon-savard.net","Master in Fashion Design","Master's","Fashion Design","Fashion Design","2","24","https://www.atelier-chardon-savard.net/en/master-fashion-design","3.0","70","Bachelor's","No","0","Fashion background preferred","Yes","6.5","6.0","90","20","58","110","Yes","If bachelor's was in English","No","N/A","No","N/A","N/A","12900","14190","50","Yes","Merit scholarships","3000","12000","No","No","Yes","No","N/A","N/A","05/31","N/A","No","English","90","85","Yes","Yes","2 years","Creative ateliers, Industry network, Paris fashion capital","N/A","admissions@atelier-chardon-savard.net","https://www.atelier-chardon-savard.net/apply","0%","2025-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
